# Restfreq(MHz)  line   
  115271.2018    CO10
  230538.0000    CO21
  345795.9899    CO32
  461040.7682    CO43
  576267.9305    CO54
  691473.0763    CO65
  806651.8060    CO76
  921799.7000    CO87
 1036912.3930    CO98
 1151985.4520    CO10-9
 1267014.4860    CO11-10
 1381995.1050    CO12-11
 1496922.9090    CO1312
 1611793.5180    CO1413
 1726602.5066    CO1514
 1841345.5060    CO1615
 1956018.1390    CO1716
 2070615.9930    CO1817
 2185134.6800    CO1918
 2299569.8420    CO2019
 2413917.1130    CO2120
 2528172.0600    CO2221
 2642330.3464    CO2322
 2756387.5840    CO2423
 2870339.4070    CO2524
 2984181.4550    CO2625
   492160.7    CI10
   809342.0    CI21
 1461131.41    NII205 
 1900536.90    CII158
 2459374.00    NII112 
 2060068.00    OI145 
 4744777.50    OI63 



  437150.8    H2O753-660       
 1207638.7    H2O422-413
 1228788.8    H2O220-211
 1410618.1    H2O523-514


 1153126.8   o-H2O3_1_2-2_2_1    
 1097365.1   o-H2O3_1_2-3_0_3    
 1162911.9   o-H2O3_2_1-3_1_2    
  380197.4   o-H2O4_1_4-3_2_1    
  448001.2   o-H2O4_2_3-3_3_0    
  620701.2   o-H2O5_3_2-4_4_1    
 1158324.1   o-H2O6_3_4-5_4_1    
  439150.9   o-H2O6_4_3-5_5_0    
  443018.4   o-H2O7_5_2-6_6_1    
 1146621.5   o-H2O7_2_5-8_1_8    
 1168358.7   o-H2O8_5_4-7_6_1    
 321225.7    o-H2O10_2_9-9_3_6   


 1113343.1    p-H2O1_1_1-0_0_0  
  987926.7    p-H2O2_0_2-1_1_1 
  752033.2    p-H2O2_1_1-2_0_2 
  183310.0    p-H2O3_1_3-2_2_0 
  916171.6    p-H2O4_2_2-3_3_1 
  325153.0    p-H2O5_1_5-4_2_2 
  970315.2    p-H2O5_2_4-4_3_1 
  470889.1    p-H2O6_4_2-5_5_1 
  488491.1    p-H2O6_2_4-7_1_7 
 1172526.0    p-H2O7_4_4-6_5_1 
  437346.7    p-H2O7_5_3-6_6_0 
 1190829.1    p-H2O8_5_3-7_6_2 
  906206.1    p-H2O9_2_8-8_3_5 


    110201.4    13CO1-0 
    220398.7    13CO2-1 
    330588.0    13CO3-2 
    440765.2    13CO4-3 
    550926.3    13CO5-4 
    661067.3    13CO6-5 
    771184.1    13CO7-6 
    881272.8    13CO8-7 
    991329.3    13CO9-8 
   1101349.6     13CO10-9


  109782.2    C18O1-0    
  219560.4    C18O2-1    
  329330.6    C18O3-2    
  439088.8    C18O4-3    
  548831.0    C18O5-4    
  658553.3    C18O6-5    
  768251.6    C18O7-6    
  877922.0    C18O8-7    
  987560.4    C18O9-8    
 1097162.9    C18O10-9    




                
  536810.63     CH3OH-1                            
  644325.21     NH2                                 
  648784.23     NH2                                 
  721927.40     H2O+721                          
  742033.00     H2O+(202-111)(5/3-3/2)          
  746193.80     H2O+(202-111)(3/2-3/2)           
  902217.00     NH2-1                           
  907433.00     HN2-2                           
  982947.60     H2O+++                           
  995360.00     H2O+                           
 1000001.02     NH(1122-0123)                      
 1115204.00     H2O+(111-000)(3/2-1/2)           
 1139560.60     H2O+(111-000)(1/2-1/2)           
 1198835.99     HCO                                  
 1214852.94     NH3(201-100)                        
 1215245.71     NH3(211-110)                        
 1444018.37     NH2-1                                
 1447986.28     NH2-2                                
 1470426.36     H3O+(740-741)                       
 

  909158.80     OH+(101-012)                     
  971805.30     OH+(122-011)                     
 1033118.00     OH+(112-012)                     

 982256.9    H3O+(312-303)  
# https://academic.oup.com/mnras/article-lookup/doi/10.1093/mnras/stv2023#supplementary-data


#  draw upper      986098./(1+redshift)      CH3OH(102-91)  
#  draw upper      1005642./(1+redshift)     CH3OH(104-103)  
#  
#  
#  
#  
#  
#  !-------- absorption lines ----------
#  pen 6 /wei 1
#  draw upper      556936.0/(1+redshift)    H2O110-101 
#  draw upper      474689.1/(1+redshift)    H2O533-440
#  draw upper      1232476.22/(1+redshift)  HF(1-0)       
#  draw upper       835078.95/(1+redshift)  CH+(1-0)                          
#  pen 0 /wei 0.5
#  
#  
#  ! -----------masers --------------
#  pen 3 /wei 1
#  draw upper     325152.9/(1+redshift)    H2O515-422
#  
#  pen 0 /wei 0.5
#  
#  
#  draw upper 532723.9/(1+redshift)        CH532
#  
#  
#  draw upper    113168.7/(1+redshift)  CN1_0.5-0_0.5 
#  draw upper    113494.9/(1+redshift)  CN1_1.5-0_0.5 
#  draw upper    226332.7/(1+redshift)  CN2_1.5-1_1.5 
#  draw upper    226659.0/(1+redshift)  CN2_1.5-1_0.5 
#  draw upper    226876.5/(1+redshift)  CN2_2.5-1_1.5 
#  draw upper    339487.6/(1+redshift)  CN3_2.5-2_2.5 
#  draw upper    340031.3/(1+redshift)  CN3_2.5-2_1.5 
#  draw upper    340248.8/(1+redshift)  CN3_3.5-2_2.5 
#  draw upper    452628.6/(1+redshift)  CN4_3.5-3_3.5 
#  draw upper    453389.8/(1+redshift)  CN4_3.5-3_2.5 
#  draw upper    453607.3/(1+redshift)  CN4_4.5-3_3.5 
#  draw upper    565751.1/(1+redshift)  CN5_4.5-4_4.5 
#  draw upper    566729.8/(1+redshift)  CN5_4.5-4_3.5 
#  draw upper    566947.3/(1+redshift)  CN5_5.5-4_4.5 
#  draw upper    678850.6/(1+redshift)  CN6_5.5-5_5.5 
#  draw upper    680046.8/(1+redshift)  CN6_5.5-5_4.5 
#  draw upper    680264.3/(1+redshift)  CN6_6.5-5_5.5 
#  draw upper    791922.4/(1+redshift)  CN7_6.5-6_6.5 
#  draw upper    793336.1/(1+redshift)  CN7_6.5-6_5.5 
#  draw upper    793553.6/(1+redshift)  CN7_7.5-6_6.5 
#  draw upper    904961.9/(1+redshift)  CN8_7.5-7_7.5  
#  draw upper    906593.1/(1+redshift)  CN8_7.5-7_6.5  
#  draw upper    906810.6/(1+redshift)  CN8_8.5-7_7.5  
#  draw upper   1017964.5/(1+redshift)  CN9_8.5-8_8.5  
#  draw upper   1019813.2/(1+redshift)  CN9_8.5-8_7.5  
#  draw upper   1020030.7/(1+redshift)  CN9_9.5-8_8.5  
#  draw upper   1130925.5/(1+redshift)  CN10_9.5-9_9.5 
#  draw upper   1132991.8/(1+redshift)  CN10_9.5-9_8.5 
#  draw upper   1133209.3/(1+redshift)  CN10_10-9_9.5  
#  draw upper   1243840.5/(1+redshift)  CN11_10-10_10. 
#  draw upper   1246124.2/(1+redshift)  CN11_10-10_9.5 
#  draw upper   1246341.7/(1+redshift)  CN11_11-10_10. 
#  draw upper   1356704.7/(1+redshift)  CN12_11-11_11. 
#  draw upper   1359205.9/(1+redshift)  CN12_11-11_10. 
#  draw upper   1359423.4/(1+redshift)  CN12_12-11_11. 
