#freq(GHz),flux(Jy)
693.8604125001,0.0
693.8760375001,0.0
693.8916625001,0.01230258096053344
693.9072875001,0.064937758091397
693.9229125001,0.06883251962021919
693.9385375001,0.08355752022218392
693.9541625001,0.08041857393999047
693.9697875001,0.06318162211874136
693.9854125001,0.08483348290412772
694.0010375001,0.09435870478979136
694.0166625001,0.08267789235416577
694.0322875001,0.0471702776630025
694.0479125001,0.0548258075850125
694.0635375001,0.06373940919503308
694.0791625001,0.04964975749050091
694.0947875001,0.046731808524560395
694.1104125001,0.0549276617898046
694.1260375001,0.053024838134068594
694.1416625001,0.05862569797377558
694.1572875001,0.07801499088021652
694.1729125001,0.07558574078724528
694.1885375001,0.06120515338302889
694.2041625001,0.05194527729273503
694.2197875001,0.05160595841790812
694.2354125001,0.043669333615541345
694.2510375001,0.038000937201431814
694.2666625001,0.03324518291024299
694.2822875001,0.03704265353354516
694.2979125001,0.0669550287514514
694.3135375001,0.06397182160726088
694.3291625001,0.03683337584831961
694.3447875001,0.04476177855632391
694.3604125001,0.06740896494023416
694.3760375001,0.07955356462907875
694.3916625001,0.09892430221053158
694.4072875001,0.04283834317606771
694.4229125001,-0.031030641680135845
694.4385375001,-0.05032410216832713
694.4541625001,-0.032296518386774095
694.4697875001,-0.016865672118848714
694.4854125001,-0.002467591559829224
694.5010375001,-0.03805345292731643
694.5166625001,0.0
694.5322875001,0.0
694.5479125001,0.0
694.5635375001,0.0
694.5791625001,0.0
694.5947875001,0.0
694.6104125001,0.0
694.6260375001,0.0
694.6416625001,0.0
694.6572875001,0.0
694.6729125001,0.0
694.6885375001,0.0
694.7041625001,0.0
694.7197875001,0.0
694.7354125001,0.0
694.7510375001,0.0
694.7666625001,0.0
694.7822875001,0.0
694.7979125001,0.0
694.8135375001,0.0
694.8291625001,0.0
694.8447875001,0.0
694.8604125001,0.0
694.8760375001,0.0
694.8916625001,0.0
694.9072875001,0.0
694.9229125001,0.0
694.9385375001,0.0
694.9541625001,0.0
694.9697875001,0.0
694.9854125001,0.0
695.0010375001,0.0
695.0166625001,0.0
695.0322875001,0.11439170306100618
695.0479125001,0.09598339685312021
695.0635375001,0.05424290507328514
695.0791625001,0.0793380992883266
695.0947875001,0.11469562054169416
695.1104125001,0.10712085514630862
695.1260375001,0.0949325016938432
695.1416625001,0.04058165320702318
695.1572875001,0.03777439888210993
695.1729125001,0.0855756909314866
695.1885375001,0.10450078655859443
695.2041625001,0.07985802742553375
695.2197875001,0.0673478750656267
695.2354125001,0.07298822044788639
695.2510375001,0.06282300428225193
695.2666625001,0.0595938026605849
695.2822875001,0.05364259455408446
695.2979125001,0.03176030760618924
695.3135375001,0.032828270108249936
695.3291625001,0.048328844765828764
695.3447875001,0.07452637074552161
695.3604125001,0.11058759821268142
695.3760375001,0.11859842217616758
695.3916625001,0.11135098546000592
695.4072875001,0.12190254843645176
695.4229125001,0.12141319672117966
695.4385375001,0.08541139648178353
695.4541625001,0.08490465460638735
695.4697875001,0.11850674791137927
695.4854125001,0.08664813154313822
695.5010375001,0.03300261293942514
695.5166625001,0.0326246597864592
695.5322875001,0.05973457032560495
695.5479125001,0.09183106285062789
695.5635375001,0.11434587850690615
695.5791625001,0.1180549622968015
695.5947875001,0.09656235668672729
695.6104125001,0.06826367425434118
695.6260375001,0.03659021652429126
695.6416625001,0.011670791629136533
695.6572875001,0.0035182462070674062
695.6729125001,-0.010447391893472826
695.6885375001,-0.0002914398017434761
695.7041625001,0.012804919264328894
695.7197875001,0.028623535566901122
695.7354125001,0.027574843442018153
695.7510375001,0.0
695.7666625001,0.0
695.7822875001,0.0
695.7979125001,0.0
695.8135375001,0.0
695.8291625001,0.0
695.8447875001,0.0
